staff_id,name,phone,email,hire_date,is_active,role,,
1,Aaron,9175554821,aaron.smith@email.com,2/14/15,1,Veterinarian,,
2,Bella,7185552034,bella.johnson@email.com,6/1/16,1,Technician,,
3,Caleb,6465559182,caleb.williams@email.com,9/22/17,1,Receptionist,,
4,Daisy,9295553746,daisy.brown@email.com,3/18/18,1,Barista,,
5,Ethan,2125556701,ethan.jones@email.com,11/5/16,1,Veterinarian,,
6,Faith,3475558293,faith.miller@email.com,7/12/19,1,Technician,,
7,George,5165557402,george.davis@email.com,1/8/14,1,Barista,,
8,Hazel,7185556219,hazel.garcia@email.com,8/30/19,1,Receptionist,,
9,Isaac,6465558374,isaac.rodriguez@email.com,5/17/18,0,Technician,,
10,Jasmine,9175554603,jasmine.wilson@email.com,10/25/20,1,Receptionist,,
11,Kyle,2125559827,kyle.moore@email.com,4/16/17,1,Veterinarian,,
12,Leah,3475551038,leah.taylor@email.com,12/5/15,1,Technician,,
13,Matthew,9295556741,matthew.anderson@email.com,3/30/16,0,Receptionist,,
14,Natalie,5165552907,natalie.thomas@email.com,9/21/18,1,Veterinarian,,
15,Owen,7185553842,owen.jackson@email.com,6/11/19,1,Technician,,
16,Piper,6465557910,piper.white@email.com,8/15/17,1,Receptionist,,
17,Quinn,9175552058,quinn.harris@email.com,1/8/20,1,Veterinarian,,
18,Riley,2125554763,riley.martin@email.com,11/27/16,1,Technician,,
19,Stella,3475558194,stella.thompson@email.com,5/3/15,1,Barista,,
20,Thomas,9295553627,thomas.lee@email.com,2/19/18,1,Veterinarian,,
,,,,,,,,
